2014-08-01 20:15:34 status half-installed perl-base:armhf 5.14.2-21+deb7u1
2014-08-01 20:15:35 status unpacked perl-base:armhf 5.14.2-21+deb7u1
2014-08-01 20:15:35 status unpacked perl-base:armhf 5.14.2-21+deb7u1
2014-08-01 20:15:35 install sed:armhf <none> 4.2.1-10
2014-08-01 20:15:35 status half-installed sed:armhf 4.2.1-10
2014-08-01 20:15:35 status unpacked sed:armhf 4.2.1-10
2014-08-01 20:15:35 status unpacked sed:armhf 4.2.1-10
2014-08-01 20:15:35 install sensible-utils:all <none> 0.0.7
2014-08-01 20:15:35 status half-installed sensible-utils:all 0.0.7
2014-08-01 20:15:35 status unpacked sensible-utils:all 0.0.7
2014-08-01 20:15:35 status unpacked sensible-utils:all 0.0.7
2014-08-01 20:15:35 install login:armhf <none> 1:4.1.5.1-1
2014-08-01 20:15:35 status half-installed login:armhf 1:4.1.5.1-1
2014-08-01 20:15:36 status unpacked login:armhf 1:4.1.5.1-1
2014-08-01 20:15:36 status unpacked login:armhf 1:4.1.5.1-1
2014-08-01 20:15:36 install passwd:armhf <none> 1:4.1.5.1-1
2014-08-01 20:15:36 status half-installed passwd:armhf 1:4.1.5.1-1
2014-08-01 20:15:36 status unpacked passwd:armhf 1:4.1.5.1-1
2014-08-01 20:15:36 status unpacked passwd:armhf 1:4.1.5.1-1
2014-08-01 20:15:37 install libslang2:armhf <none> 2.2.4-15
2014-08-01 20:15:37 status half-installed libslang2:armhf 2.2.4-15
2014-08-01 20:15:37 status unpacked libslang2:armhf 2.2.4-15
2014-08-01 20:15:37 status unpacked libslang2:armhf 2.2.4-15
2014-08-01 20:15:37 install initscripts:armhf <none> 2.88dsf-41+deb7u1
2014-08-01 20:15:37 status half-installed initscripts:armhf 2.88dsf-41+deb7u1
2014-08-01 20:15:37 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2014-08-01 20:15:37 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2014-08-01 20:15:37 install sysv-rc:all <none> 2.88dsf-41+deb7u1
2014-08-01 20:15:37 status half-installed sysv-rc:all 2.88dsf-41+deb7u1
2014-08-01 20:15:37 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2014-08-01 20:15:37 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2014-08-01 20:15:38 install sysvinit:armhf <none> 2.88dsf-41+deb7u1
2014-08-01 20:15:38 status half-installed sysvinit:armhf 2.88dsf-41+deb7u1
2014-08-01 20:15:38 status unpacked sysvinit:armhf 2.88dsf-41+deb7u1
2014-08-01 20:15:38 status unpacked sysvinit:armhf 2.88dsf-41+deb7u1
2014-08-01 20:15:38 install sysvinit-utils:armhf <none> 2.88dsf-41+deb7u1
2014-08-01 20:15:38 status half-installed sysvinit-utils:armhf 2.88dsf-41+deb7u1
2014-08-01 20:15:38 status unpacked sysvinit-utils:armhf 2.88dsf-41+deb7u1
2014-08-01 20:15:38 status unpacked sysvinit-utils:armhf 2.88dsf-41+deb7u1
2014-08-01 20:15:38 install tar:armhf <none> 1.26+dfsg-0.1
2014-08-01 20:15:38 status half-installed tar:armhf 1.26+dfsg-0.1
2014-08-01 20:15:38 status unpacked tar:armhf 1.26+dfsg-0.1
2014-08-01 20:15:38 status unpacked tar:armhf 1.26+dfsg-0.1
2014-08-01 20:15:39 install tzdata:all <none> 2014e-0wheezy1
2014-08-01 20:15:39 status half-installed tzdata:all 2014e-0wheezy1
2014-08-01 20:15:40 status unpacked tzdata:all 2014e-0wheezy1
2014-08-01 20:15:40 status unpacked tzdata:all 2014e-0wheezy1
2014-08-01 20:15:40 install libustr-1.0-1:armhf <none> 1.0.4-3
2014-08-01 20:15:40 status half-installed libustr-1.0-1:armhf 1.0.4-3
2014-08-01 20:15:41 status unpacked libustr-1.0-1:armhf 1.0.4-3
2014-08-01 20:15:41 status unpacked libustr-1.0-1:armhf 1.0.4-3
2014-08-01 20:15:41 install bsdutils:armhf <none> 1:2.20.1-5.3
2014-08-01 20:15:41 status half-installed bsdutils:armhf 1:2.20.1-5.3
2014-08-01 20:15:41 status unpacked bsdutils:armhf 1:2.20.1-5.3
2014-08-01 20:15:41 status unpacked bsdutils:armhf 1:2.20.1-5.3
2014-08-01 20:15:41 install libblkid1:armhf <none> 2.20.1-5.3
2014-08-01 20:15:41 status half-installed libblkid1:armhf 2.20.1-5.3
2014-08-01 20:15:41 status unpacked libblkid1:armhf 2.20.1-5.3
2014-08-01 20:15:41 status unpacked libblkid1:armhf 2.20.1-5.3
2014-08-01 20:15:41 install libmount1:armhf <none> 2.20.1-5.3
2014-08-01 20:15:41 status half-installed libmount1:armhf 2.20.1-5.3
2014-08-01 20:15:41 status unpacked libmount1:armhf 2.20.1-5.3
2014-08-01 20:15:41 status unpacked libmount1:armhf 2.20.1-5.3
2014-08-01 20:15:42 install libuuid1:armhf <none> 2.20.1-5.3
2014-08-01 20:15:42 status half-installed libuuid1:armhf 2.20.1-5.3
2014-08-01 20:15:42 status unpacked libuuid1:armhf 2.20.1-5.3
2014-08-01 20:15:42 status unpacked libuuid1:armhf 2.20.1-5.3
2014-08-01 20:15:42 install mount:armhf <none> 2.20.1-5.3
2014-08-01 20:15:42 status half-installed mount:armhf 2.20.1-5.3
2014-08-01 20:15:42 status unpacked mount:armhf 2.20.1-5.3
2014-08-01 20:15:42 status unpacked mount:armhf 2.20.1-5.3
2014-08-01 20:15:42 install util-linux:armhf <none> 2.20.1-5.3
2014-08-01 20:15:42 status half-installed util-linux:armhf 2.20.1-5.3
2014-08-01 20:15:43 status unpacked util-linux:armhf 2.20.1-5.3
2014-08-01 20:15:43 status unpacked util-linux:armhf 2.20.1-5.3
2014-08-01 20:15:43 install liblzma5:armhf <none> 5.1.1alpha+20120614-2
2014-08-01 20:15:43 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2
2014-08-01 20:15:43 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2014-08-01 20:15:43 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2014-08-01 20:15:43 install xz-utils:armhf <none> 5.1.1alpha+20120614-2
2014-08-01 20:15:43 status half-installed xz-utils:armhf 5.1.1alpha+20120614-2
2014-08-01 20:15:44 status unpacked xz-utils:armhf 5.1.1alpha+20120614-2
2014-08-01 20:15:44 status unpacked xz-utils:armhf 5.1.1alpha+20120614-2
2014-08-01 20:15:44 install zlib1g:armhf <none> 1:1.2.7.dfsg-13
2014-08-01 20:15:44 status half-installed zlib1g:armhf 1:1.2.7.dfsg-13
